Water,Geno,Layer,Length.cm..mean,ProjArea.cm2..mean,SurfArea.cm2..mean,AvgDiam.mm..mean,RootVolume.cm3..mean,Tips.mean,Forks.mean,Crossings.mean,X0..L...0.1500000.mean,X0.1500000..L...0.3000000.mean,X0.3000000..L...0.5000000.mean,X0.5000000..L...1.0000000.mean,.L..1.0000000.mean,X0..SA...0.1500000.mean,X0.1500000..SA...0.3000000.mean,X0.3000000..SA...0.5000000.mean,X0.5000000..SA...1.0000000.mean,.SA..1.0000000.mean,X0..PA...0.1500000.mean,X0.1500000..PA...0.3000000.mean,X0.3000000..PA...0.5000000.mean,X0.5000000..PA...1.0000000.mean,.PA..1.0000000.mean,X0..V...0.1500000.mean,X0.1500000..V...0.3000000.mean,X0.3000000..V...0.5000000.mean,X0.5000000..V...1.0000000.mean,.V..1.0000000.mean,X0..T...0.1500000.mean,X0.1500000..T...0.3000000.mean,X0.3000000..T...0.5000000.mean,X0.5000000..T...1.0000000.mean,.T..1.0000000.mean,Length.cm..se,ProjArea.cm2..se,SurfArea.cm2..se,AvgDiam.mm..se,RootVolume.cm3..se,Tips.se,Forks.se,Crossings.se,X0..L...0.1500000.se,X0.1500000..L...0.3000000.se,X0.3000000..L...0.5000000.se,X0.5000000..L...1.0000000.se,.L..1.0000000.se,X0..SA...0.1500000.se,X0.1500000..SA...0.3000000.se,X0.3000000..SA...0.5000000.se,X0.5000000..SA...1.0000000.se,.SA..1.0000000.se,X0..PA...0.1500000.se,X0.1500000..PA...0.3000000.se,X0.3000000..PA...0.5000000.se,X0.5000000..PA...1.0000000.se,.PA..1.0000000.se,X0..V...0.1500000.se,X0.1500000..V...0.3000000.se,X0.3000000..V...0.5000000.se,X0.5000000..V...1.0000000.se,.V..1.0000000.se,X0..T...0.1500000.se,X0.1500000..T...0.3000000.se,X0.3000000..T...0.5000000.se,X0.5000000..T...1.0000000.se,.T..1.0000000.se,Layer2
Irrigated,OSU 16,1,581.8815,9.2715,29.1273,0.1625,0.116,2706.5,2251,560,371.8475,187.33385,20.9282,1.6415,0,10.53075,12.23765,2.4048,0.29395,0,3.35205,3.89535,0.76545,0.0936,0,0.02665,0.06555,0.0223,0.0043,0,2332,349.5,23.5,1.5,0,326.0288,4.9703,15.6146,0.0056,0.059,1001.5,1741,464,227.4551,102.69355,3.7248,0.5195,0,6.95565,6.54525,0.429,0.07475,0,2.21405,2.08345,0.13655,0.0238,0,0.01835,0.03445,0.004,8.00E-04,0,891,120.5,8.5,1.5,0,15
Rainfed,OSU 16,1,594.16985,9.4658,29.73775,0.15915,0.1185,2964.5,2142.5,439.5,385.84445,192.371,14.35965,1.3418,0.0368,11.53945,12.2294,1.65245,0.2576,0.01455,3.67315,3.8927,0.526,0.08195,0.00465,0.03035,0.06395,0.01535,0.004,0.00045,2503,432,27.5,2,0,75.42535,1.2676,3.98225,0.00115,0.0165,842.5,779.5,164.5,52.56895,16.6994,4.98515,1.0467,0.0368,1.21315,1.1995,0.60575,0.205,0.01455,0.38615,0.3818,0.1928,0.06525,0.00465,0.00265,0.00715,0.00595,0.0033,0.00045,758,71,11.5,2,0,15
Irrigated,OSU 18,1,743.8724,11.2059,35.2043,0.152,0.133,3411.5,2691.5,674.5,531.11865,193.1551,17.9329,1.4964,0.0023,15.74405,12.2116,2.08925,0.27995,0.00075,5.0115,3.8871,0.66505,0.0891,0.00025,0.0409,0.0637,0.0197,0.0043,0,2942,429.5,36.5,3.5,0,274.0057,3.8879,12.2141,0.0037,0.043,966.5,1358.5,394.5,203.03355,73.4948,2.1431,0.4613,0.0023,6.41045,4.1817,0.25655,0.09165,0.00075,2.0405,1.3311,0.08165,0.0292,0.00025,0.0174,0.019,0.0025,0.0015,0,819,152.5,2.5,2.5,0,15
Rainfed,OSU 18,1,821.9609,13.0349,40.9502,0.1586,0.162,4568,5240,1093,578.7679,210.4819,25.8708,6.1117,0.3634,16.7258,13.3519,3.0852,1.1923,0.1347,5.324,4.2501,0.982,0.3795,0.0429,0.0426,0.0697,0.0298,0.0191,0.004,3992,536,33,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
Irrigated,OSU 19,1,342.51125,5.6143,17.63775,0.1614,0.0725,1639,1031.5,176,219.00835,109.8686,8.93945,3.9915,0.67255,6.1525,7.07275,1.05465,0.8657,0.2448,1.9584,2.2513,0.3357,0.27555,0.0779,0.0153,0.0373,0.01005,0.01545,0.0073,1450,171.5,13.5,3.5,0.5,93.19415,1.8228,5.72655,0.0093,0.0275,566,389.5,70,58.36535,24.7729,5.36105,3.9915,0.67255,1.54,1.69435,0.65765,0.8657,0.2448,0.4902,0.5393,0.2093,0.27555,0.0779,0.0036,0.0095,0.00655,0.01545,0.0073,508,48.5,5.5,3.5,0.5,15
Rainfed,OSU 19,1,733.539,9.64515,30.30115,0.13115,0.1,4072.5,2714.5,641.5,589.4879,136.379,7.14965,0.3343,0,16.19845,8.56505,0.8297,0.0586,0,5.15615,2.7263,0.2641,0.01865,0,0.0396,0.04415,0.0078,0.00085,0,3766,296.5,9.5,0.5,0,67.4998,1.16665,3.66505,0.00385,0.015,304.5,490.5,133.5,45.253,18.2473,3.79745,0.2127,0,1.33285,1.29995,0.4551,0.0378,0,0.42425,0.4138,0.1449,0.01205,0,0.0034,0.00765,0.0044,0.00055,0,264,37.5,2.5,0.5,0,15
Irrigated,OSU 24,1,927.22965,15.39295,48.35835,0.1658,0.201,4081.5,4319.5,1108.5,603.5389,280.6127,34.73455,7.7518,0.3337,17.5736,18.1463,4.17935,1.48205,0.14,5.59385,5.77615,1.33035,0.47175,0.04455,0.04505,0.0965,0.0407,0.02305,0.00485,3407.5,618,49,7,0,354.42645,5.93115,18.63325,0.0006,0.078,1211.5,2436.5,766.5,251.2169,75.4223,21.13605,6.1644,0.3337,6.7324,5.0914,2.56725,1.19685,0.14,2.14295,1.62065,0.81715,0.38095,0.04455,0.01615,0.0284,0.0252,0.01895,0.00485,1125.5,68,13,5,0,15
Rainfed,OSU 24,1,938.67795,14.4621,45.43395,0.1559,0.1755,4663,4477.5,1041.5,660.59255,251.3495,24.10855,2.4024,0,19.28095,16.09765,2.8481,0.4456,0,6.13735,5.124,0.9066,0.14185,0,0.0495,0.0847,0.02725,0.00665,0,4039,579.5,41.5,3,0,235.58685,2.9967,9.41435,0.0072,0.0285,812,1519.5,482.5,204.48525,32.6023,1.62645,0.084,0,5.95445,1.87735,0.2133,0.0156,0,1.89535,0.5976,0.0679,0.00495,0,0.0152,0.0087,0.00225,0.00025,0,863,35.5,14.5,1,0,15
Irrigated,OSU 33,1,484.70615,6.6619,20.92895,0.14095,0.0725,2645,1402.5,340.5,367.33,110.0019,5.7745,1.4386,0.11355,10.066,6.92715,0.67545,0.3308,0.0414,3.2041,2.20495,0.215,0.1053,0.01315,0.02455,0.03585,0.0064,0.0063,0.0012,2401,236,6.5,1,0.5,173.64755,1.9705,6.19065,0.00985,0.0165,1207,481.5,187.5,153.7358,20.216,1.0303,1.2416,0.11355,4.1293,1.29265,0.10445,0.2974,0.0414,1.3144,0.41145,0.0332,0.0947,0.01315,0.00985,0.00675,8.00E-04,0.0058,0.0012,1114,90,4.5,1,0.5,15
Rainfed,OSU 33,1,503.2623,7.7345,24.29865,0.15525,0.093,2629,1910,413,347.59455,139.7544,14.73445,1.05455,0,10.01435,8.9892,1.71365,0.19375,0,3.18765,2.86135,0.54545,0.0617,0,0.02555,0.04765,0.01605,0.00285,0,2291.5,320,15,2.5,0,223.0423,3.2858,10.32265,0.00355,0.038,1131,1184,318,164.43695,53.4782,4.78055,0.24575,0,4.68315,3.3761,0.54845,0.04125,0,1.49065,1.07465,0.17455,0.0131,0,0.01185,0.01755,0.00505,0.00055,0,1011.5,118,2,0.5,0,15
